Product ID,Batch Number,Manufacturing Date,Expiry Date,Current Stock,Sales Velocity (units/day)
HP012,B77250,2024-01-23,2024-07-21,2655,49.34
HP002,B19374,2024-11-21,2026-11-21,1762,63.9
HP011,B25888,2024-08-22,2026-08-22,4101,2.67
HP003,B37433,2023-10-10,2025-10-09,2623,65.07
HP008,B99591,2024-12-24,2026-12-24,1828,44.92
HP004,B51993,2023-06-01,2024-11-22,496,62.62
HP002,B55218,2025-04-04,2026-09-26,3136,58.83
HP006,B60317,2024-09-16,2026-09-16,2852,18.91
HP011,B41527,2023-07-23,2025-07-22,4288,50.38
HP003,B11735,2023-09-23,2024-09-22,4534,68.0
HP005,B90885,2023-06-20,2024-12-11,1555,52.2
HP003,B24643,2025-01-28,2027-01-28,2642,20.44
HP002,B17763,2023-11-04,2024-11-03,3568,3.25
HP012,B48623,2024-06-11,2025-06-11,1539,63.76
HP001,B24270,2024-07-17,2025-07-17,4395,55.84
HP009,B50943,2025-05-24,2025-11-20,421,61.75
HP006,B18812,2023-11-09,2025-05-02,1655,12.86
HP012,B48787,2024-06-26,2025-06-26,800,26.08
HP012,B67830,2025-02-06,2025-08-05,212,35.28
HP003,B91177,2024-11-25,2026-11-25,615,1.21
HP010,B80570,2023-01-14,2025-01-13,475,42.51
HP005,B32600,2023-10-09,2025-10-08,2039,42.21
HP011,B49976,2025-02-01,2026-07-26,3879,17.24
HP006,B44772,2025-01-13,2026-07-07,2191,54.22
HP003,B77108,2023-04-16,2025-04-15,1844,69.56
HP007,B10673,2023-07-12,2025-01-02,1925,3.17
HP005,B18944,2024-02-06,2025-02-05,4943,39.56
HP002,B18001,2024-02-28,2025-02-27,3942,30.35
HP001,B27902,2024-07-17,2025-01-13,1260,43.47
HP002,B33491,2024-08-10,2026-08-10,4785,50.44
HP007,B25231,2025-04-20,2026-10-12,321,48.46
HP011,B23211,2025-05-03,2026-10-25,896,8.16
HP005,B68292,2024-01-09,2025-01-08,4599,50.85
HP003,B26783,2024-07-19,2026-07-19,2277,56.14
HP008,B47771,2023-02-03,2025-02-02,3788,34.67
HP011,B34192,2024-11-18,2025-11-18,584,52.91
HP003,B36598,2024-08-22,2025-08-22,3285,52.48
HP002,B71599,2025-05-06,2026-10-28,3663,35.71
HP002,B18695,2024-10-16,2025-10-16,2196,54.61
HP010,B39857,2024-10-13,2026-04-06,948,57.74
HP009,B82323,2023-07-16,2024-01-12,1813,5.39
HP005,B75936,2023-03-27,2024-09-17,1869,57.56
HP001,B40551,2024-12-04,2025-12-04,4042,20.83
HP002,B80127,2024-06-12,2025-12-04,4377,30.68
HP005,B98538,2023-01-08,2025-01-07,4281,21.39
HP007,B60354,2024-08-31,2026-02-22,165,9.62
HP002,B82985,2023-09-01,2025-02-22,2248,32.09
HP003,B33676,2024-11-27,2026-05-21,3775,46.26
HP007,B89162,2025-03-15,2027-03-15,4411,22.17
HP009,B43681,2025-03-12,2026-03-12,1529,14.62
HP001,B64304,2023-10-01,2024-03-29,1794,25.0
HP010,B62314,2025-01-23,2027-01-23,309,12.86
HP005,B35040,2024-01-23,2025-01-22,2104,16.79
HP001,B17853,2023-07-16,2024-07-15,772,5.89
HP004,B80029,2023-10-17,2025-04-09,911,54.63
HP006,B68797,2023-11-26,2024-11-25,1243,32.95
HP004,B77345,2024-04-12,2026-04-12,2608,35.82
HP003,B53489,2025-03-09,2026-08-31,4054,26.01
HP007,B57679,2023-01-01,2024-12-31,1572,2.13
HP005,B77624,2023-04-15,2025-04-14,852,47.63
HP008,B67606,2023-07-12,2025-07-11,299,12.17
HP008,B91161,2025-04-21,2026-04-21,378,23.11
HP007,B32271,2024-11-11,2026-05-05,257,18.89
HP001,B98249,2024-12-15,2025-12-15,1516,38.92
HP003,B61417,2024-10-26,2026-10-26,352,54.63
HP009,B60695,2023-03-29,2023-09-25,4066,53.8
HP012,B51317,2023-01-07,2024-01-07,859,16.02
HP012,B21467,2024-09-13,2025-03-12,2420,57.91
HP002,B37709,2024-09-20,2026-03-14,3172,12.28
HP007,B73863,2024-08-11,2026-08-11,1997,60.67
HP010,B31463,2024-12-08,2026-12-08,381,42.89
HP003,B23993,2023-11-10,2025-05-03,1481,33.73
HP009,B78794,2023-09-06,2024-09-05,3209,64.14
HP009,B91569,2025-05-29,2025-11-25,1808,12.9
HP007,B29070,2024-07-19,2026-07-19,1579,19.28
HP009,B45091,2023-08-10,2024-02-06,2867,61.67
HP006,B39853,2024-01-11,2026-01-10,971,41.29
HP004,B99023,2024-12-31,2026-06-24,1284,16.55
HP009,B14623,2023-01-19,2024-01-19,2180,67.7
HP006,B79570,2023-07-20,2025-07-19,3154,9.73
HP012,B59821,2023-09-05,2024-03-03,3328,61.3
HP007,B85215,2023-07-06,2024-07-05,1374,11.62
HP009,B34848,2023-04-22,2023-10-19,2645,37.72
HP005,B56372,2023-02-12,2024-02-12,533,8.65
HP005,B70592,2024-03-11,2025-09-02,2206,16.17
HP010,B87664,2024-01-27,2026-01-26,1880,64.79
HP007,B83833,2023-01-11,2024-01-11,4694,42.88
HP006,B99007,2024-10-29,2026-04-22,2858,64.6
HP006,B23018,2024-01-20,2025-01-19,616,66.6
HP012,B33973,2023-09-04,2024-03-02,2867,42.26
HP011,B35934,2024-11-27,2026-11-27,173,57.37
HP008,B81983,2024-07-04,2026-07-04,2614,25.99
HP009,B49315,2024-04-18,2024-10-15,3757,22.53
HP003,B43653,2024-05-29,2025-11-20,3736,29.79
HP012,B81212,2024-09-18,2025-03-17,196,35.25
HP012,B58039,2024-10-01,2025-10-01,1406,7.87
HP005,B86192,2024-12-12,2026-12-12,3985,36.26
HP004,B28966,2025-05-01,2027-05-01,2965,68.21
HP003,B13824,2023-08-12,2025-08-11,4938,39.98
HP012,B91949,2025-03-27,2025-09-23,1445,21.05
HP009,B98893,2023-04-22,2024-04-21,4920,10.89
HP012,B34821,2024-11-21,2025-05-20,221,53.33
HP004,B89520,2025-04-12,2026-10-04,1220,22.13
HP007,B32106,2025-02-09,2026-08-03,3627,58.39
HP003,B78318,2025-01-27,2026-01-27,946,61.98
HP003,B51027,2024-08-16,2026-02-07,2284,29.17
HP010,B51434,2025-04-16,2026-04-16,1251,8.92
HP001,B46538,2024-12-15,2025-12-15,1577,14.28
HP008,B29828,2023-08-31,2024-08-30,1782,55.67
HP010,B43573,2023-03-30,2024-09-20,573,33.27
HP006,B96796,2025-05-27,2026-11-18,726,13.82
HP005,B94794,2024-02-20,2025-02-19,1879,30.03
HP009,B99883,2025-06-19,2026-06-19,1339,31.81
HP011,B45101,2025-01-21,2026-07-15,1217,60.31
HP002,B24424,2023-01-26,2025-01-25,3611,48.38
HP008,B63793,2024-05-13,2025-05-13,3967,30.88
HP012,B20014,2023-11-07,2024-11-06,1254,46.78
HP010,B69230,2023-08-23,2025-02-13,1747,43.24
HP011,B89501,2025-01-20,2026-07-14,3356,52.81
HP009,B97387,2023-05-04,2023-10-31,2741,30.31
HP002,B53909,2023-06-01,2024-11-22,2756,35.41
HP009,B17883,2024-12-21,2025-12-21,2311,35.49
HP001,B72223,2023-12-25,2024-12-24,1602,66.73
HP007,B46957,2025-02-24,2026-08-18,4935,54.09
HP008,B66432,2023-04-30,2024-04-29,2533,9.87
HP010,B10340,2024-06-09,2025-12-01,536,60.19
HP002,B90972,2023-10-24,2024-10-23,4646,33.46
HP001,B82701,2024-12-07,2025-12-07,3150,68.23
HP004,B92169,2023-07-22,2024-07-21,1275,18.81
HP002,B23229,2024-01-06,2025-06-29,2216,62.48
HP007,B97074,2023-07-29,2025-01-19,4109,16.84
HP002,B12813,2023-03-25,2025-03-24,3428,37.95
HP009,B27400,2024-02-25,2024-08-23,2972,47.5
HP001,B93607,2023-11-28,2024-11-27,111,33.85
HP009,B71060,2025-04-30,2026-04-30,3633,15.38
HP010,B20929,2023-04-06,2025-04-05,1651,29.85
HP004,B75614,2024-01-27,2025-01-26,2204,53.82
HP003,B30848,2023-05-09,2024-05-08,878,16.35
HP007,B59251,2025-06-06,2026-11-28,4227,45.84
HP005,B44512,2023-04-20,2025-04-19,861,38.18
HP001,B52619,2025-05-23,2026-05-23,3946,58.14
HP010,B13888,2023-12-30,2025-12-29,927,35.54
HP012,B48055,2024-03-19,2024-09-15,3100,37.22
HP006,B76862,2024-01-31,2026-01-30,3403,63.78
HP003,B55579,2023-09-15,2024-09-14,4385,22.82
HP012,B12391,2023-01-10,2023-07-09,1524,25.39
HP006,B87457,2024-01-10,2025-07-03,3676,54.66
HP005,B35478,2024-12-18,2026-06-11,1064,30.97
HP010,B11939,2023-01-11,2024-01-11,2608,23.15
HP001,B86297,2025-01-17,2026-01-17,734,68.48
HP007,B38962,2023-03-13,2025-03-12,3394,9.18
HP005,B31961,2023-08-28,2025-08-27,569,22.52
HP006,B45827,2025-02-26,2026-02-26,1020,61.78
HP012,B23950,2023-06-08,2023-12-05,3151,16.4
HP010,B62661,2023-06-16,2024-12-07,864,56.81
HP007,B20277,2025-05-12,2027-05-12,1157,37.47
HP007,B46482,2025-04-14,2026-10-06,3133,30.97
HP005,B91914,2023-06-21,2024-06-20,2597,43.73
HP005,B54903,2023-02-27,2024-08-20,75,16.06
HP002,B12173,2025-02-11,2026-08-05,3364,21.69
HP006,B40518,2024-08-20,2026-02-11,1007,65.2
HP002,B43270,2023-11-01,2025-04-24,1770,4.78
HP003,B52046,2024-05-20,2025-05-20,499,10.64
HP001,B53119,2023-03-14,2023-09-10,448,49.16
HP008,B10355,2023-08-17,2024-08-16,1062,38.89
HP012,B68281,2023-10-02,2024-10-01,3171,55.01
HP002,B10010,2025-06-11,2026-06-11,2781,8.9
HP010,B89940,2024-09-14,2026-03-08,1130,67.34
HP008,B63976,2023-06-07,2025-06-06,4922,49.54
HP011,B17596,2024-07-14,2026-07-14,3886,35.32
HP001,B35114,2023-12-21,2024-12-20,3352,13.15
HP003,B80922,2024-01-07,2025-01-06,3433,12.48
HP008,B27231,2025-04-26,2026-10-18,4161,27.71
HP004,B42829,2025-05-19,2027-05-19,2702,69.46
HP005,B58424,2024-08-21,2026-02-12,4640,61.57
HP012,B41620,2024-10-06,2025-04-04,1245,64.73
HP005,B97534,2024-02-29,2026-02-28,3798,31.3
HP002,B85377,2024-02-10,2025-02-09,4489,12.75
HP001,B72860,2025-03-22,2026-03-22,4636,54.1
HP004,B80882,2023-03-15,2024-03-14,1764,11.35
HP007,B25342,2024-07-30,2026-01-21,2613,3.96
HP012,B34025,2023-02-24,2023-08-23,356,22.68
HP011,B34431,2024-11-15,2025-11-15,4221,68.44
HP003,B87558,2025-05-23,2027-05-23,4466,47.82
HP012,B37170,2023-02-18,2023-08-17,1340,52.36
HP011,B50876,2025-05-09,2026-05-09,2880,50.93
HP011,B36588,2023-12-31,2024-12-30,3758,10.49
HP009,B30632,2024-03-20,2025-03-20,1322,64.74
HP006,B78612,2024-05-02,2025-10-24,978,38.03
HP010,B18137,2024-07-28,2026-07-28,2573,26.17
HP001,B58758,2024-01-24,2024-07-22,675,56.18
HP005,B34025,2023-02-09,2025-02-08,3943,52.09
HP008,B51126,2023-02-25,2024-08-18,1480,52.75
HP005,B91707,2025-06-05,2026-11-27,743,67.81
HP012,B72631,2024-12-20,2025-06-18,4813,21.97
HP003,B86033,2024-01-10,2025-01-09,2966,8.38
HP008,B30192,2025-02-21,2026-02-21,2126,23.4
HP004,B79875,2023-07-01,2025-06-30,1874,61.42
HP002,B85755,2023-02-18,2024-02-18,2402,15.17
HP011,B72814,2024-10-23,2025-10-23,3462,58.4
HP003,B32406,2024-04-29,2026-04-29,3835,18.1
HP004,B53175,2023-06-10,2025-06-09,764,34.83
HP008,B33290,2023-02-21,2024-02-21,2200,43.76
HP009,B93268,2025-05-26,2026-05-26,3025,37.53
HP003,B78801,2023-06-02,2024-11-23,4266,11.76
HP009,B98093,2023-03-17,2024-03-16,922,68.98
HP008,B59026,2023-05-30,2025-05-29,859,3.0
HP006,B52822,2023-12-28,2025-12-27,453,48.17
HP010,B75716,2023-04-12,2024-10-03,1551,23.25
HP002,B25347,2024-05-22,2026-05-22,4477,34.89
HP008,B14842,2023-10-28,2025-04-20,4259,1.28
HP007,B28761,2023-12-20,2025-06-12,2986,10.73
HP010,B92099,2024-05-17,2026-05-17,3029,36.31
HP010,B71007,2024-08-06,2025-08-06,4403,44.05
HP007,B78740,2023-07-04,2024-07-03,3024,25.66
HP007,B91458,2023-07-12,2025-01-02,2224,43.65
HP011,B99073,2023-10-24,2024-10-23,1139,53.05
HP001,B21104,2024-05-26,2024-11-22,3726,65.92
HP004,B30550,2023-12-14,2025-06-06,1755,62.28
HP011,B26914,2024-10-01,2026-10-01,733,31.5
HP003,B98342,2023-03-29,2024-03-28,4824,61.13
HP002,B54987,2024-09-09,2026-09-09,1085,56.62
HP001,B36019,2023-06-18,2024-06-17,4822,69.4
HP012,B15455,2024-05-08,2024-11-04,1288,51.01
HP005,B67598,2023-09-19,2025-03-12,2258,27.44
HP004,B31119,2024-04-15,2025-04-15,2108,44.32
HP005,B36423,2024-05-01,2025-05-01,2350,64.92
HP008,B98857,2024-12-10,2025-12-10,3994,69.61
HP009,B95612,2024-03-09,2024-09-05,2171,69.2
HP002,B18814,2024-10-09,2026-10-09,2313,30.04
HP006,B70205,2023-07-25,2025-01-15,64,30.19
HP002,B58231,2024-08-06,2026-01-28,1275,16.31
HP002,B81906,2025-05-30,2027-05-30,4581,20.83
HP012,B34505,2023-04-12,2024-04-11,4131,40.37
HP004,B12466,2024-11-11,2026-11-11,3467,46.18
HP001,B62084,2025-05-24,2026-05-24,722,63.21
HP008,B99336,2024-11-27,2026-11-27,4572,2.83
HP008,B53593,2023-11-28,2024-11-27,1218,25.61
HP011,B53167,2025-04-04,2026-04-04,4387,39.34
HP011,B37766,2023-08-17,2025-02-07,845,51.69
HP010,B43604,2023-02-05,2025-02-04,4076,38.57
HP007,B33101,2023-08-22,2025-02-12,1224,29.8
HP006,B98681,2024-07-05,2025-07-05,2293,6.44
HP011,B21474,2024-07-10,2026-01-01,1801,40.91
HP004,B79740,2024-10-06,2026-03-30,3507,27.96
HP012,B52257,2023-10-07,2024-04-04,3465,54.14
HP012,B78968,2024-05-05,2024-11-01,3709,46.1
HP002,B45657,2025-05-20,2026-05-20,684,48.59
HP007,B80225,2023-02-06,2024-07-30,3035,21.3
HP011,B62526,2024-01-06,2025-01-05,1118,23.63
HP001,B95135,2023-02-06,2023-08-05,2046,38.72
HP010,B49103,2023-04-15,2025-04-14,2534,15.86
HP002,B89848,2023-02-04,2025-02-03,1095,61.49
HP005,B57611,2024-09-02,2026-09-02,3167,49.38
HP012,B43235,2023-11-13,2024-11-12,1353,22.88
HP005,B61136,2025-04-18,2027-04-18,4033,36.49
HP008,B16707,2023-10-20,2025-10-19,1909,61.58
HP007,B21586,2023-07-14,2024-07-13,413,60.44
HP003,B46952,2023-04-08,2024-04-07,3312,63.35
HP005,B42355,2024-06-24,2025-12-16,2939,4.83
HP005,B63642,2024-12-04,2026-05-28,3531,37.95
HP011,B13463,2023-01-21,2025-01-20,476,38.89
HP011,B45203,2023-09-13,2025-03-06,3642,29.65
HP003,B37562,2024-12-02,2026-05-26,4917,21.61
HP005,B44895,2023-01-03,2024-01-03,3038,64.77
HP005,B92718,2024-09-16,2025-09-16,2205,54.54
HP007,B10939,2024-04-29,2026-04-29,3329,13.14
HP003,B61727,2024-10-07,2026-10-07,516,7.06
HP001,B46279,2024-03-25,2025-03-25,1987,34.05
HP009,B41177,2024-05-14,2024-11-10,1435,65.69
HP003,B67555,2023-04-28,2025-04-27,4218,13.99
HP001,B17604,2024-01-28,2025-01-27,1876,11.23
HP004,B31962,2024-10-25,2025-10-25,4183,51.59
HP005,B60827,2023-09-21,2024-09-20,4083,52.42
HP003,B70059,2024-01-16,2026-01-15,908,68.69
HP003,B57537,2023-10-07,2024-10-06,3060,8.4
HP003,B38946,2025-05-28,2027-05-28,2332,24.46
HP007,B47021,2024-01-16,2025-07-09,3383,4.11
HP007,B16757,2025-05-17,2026-05-17,1638,37.91
HP005,B23314,2023-12-04,2025-05-27,1987,57.22
HP001,B91281,2025-03-02,2025-08-29,820,39.7
HP004,B88460,2023-06-12,2025-06-11,1212,34.95
HP007,B47783,2023-12-26,2025-12-25,2776,63.89
HP005,B13834,2024-08-29,2026-08-29,3331,42.58
HP001,B87533,2023-07-23,2024-07-22,472,54.27
HP003,B79287,2024-04-19,2025-04-19,4597,11.93
HP008,B53929,2024-12-26,2025-12-26,3798,22.96
HP001,B13928,2023-03-17,2023-09-13,2738,20.46
HP010,B56139,2024-07-19,2025-07-19,2063,40.94
HP002,B60836,2023-09-13,2025-09-12,3684,40.88
HP004,B58588,2023-09-22,2025-09-21,514,39.74
HP001,B30050,2024-06-10,2024-12-07,1174,59.5
HP001,B31245,2024-06-06,2025-06-06,1694,20.27
HP003,B86223,2023-03-25,2024-03-24,4927,20.36
HP003,B85470,2023-09-09,2025-09-08,4689,16.72
HP001,B93820,2023-09-19,2024-09-18,4515,42.57
HP007,B69207,2023-04-02,2025-04-01,503,14.04
HP008,B74420,2023-01-18,2025-01-17,3884,35.61
HP012,B95094,2023-04-25,2024-04-24,4474,47.88
HP009,B80704,2023-11-22,2024-05-20,3883,59.5
HP008,B34115,2024-02-29,2025-08-22,2463,66.37
HP005,B87248,2024-06-11,2025-06-11,2865,13.7
HP012,B76190,2024-03-08,2025-03-08,3767,64.41
HP005,B20790,2023-10-10,2025-10-09,148,6.08
HP009,B65655,2024-03-13,2024-09-09,3841,62.3
HP012,B50305,2024-11-06,2025-05-05,3825,27.96
